Rodada;Data;Horário;Time da casa;Time visitante;Sistema de jogo;Treinadores;Público;Resultado;;;;;;;
1;sáb 29/03/2025;18:30;São Paulo (8.);Sport (20.);3-4-1-2;Luis Zubeldía;37.856;00:00;;;;;;;
2;dom 06/04/2025;16:00;Atlético-MG (16.);São Paulo (14.);4-2-3-1;Luis Zubeldía;28.415;00:00;;;;;;;
3;dom 13/04/2025;17:30;São Paulo (14.);Cruzeiro (11.);4-2-3-1;Luis Zubeldía;37.566;01:01;;;;;;;
4;qua 16/04/2025;19:00;Botafogo (10.);São Paulo (15.);3-4-2-1;Luis Zubeldía;12.014;02:02;;;;;;;
5;dom 20/04/2025;16:00;São Paulo (16.);Santos (13.);4-2-3-1;Luis Zubeldía;52.436;02:01;;;;;;;
6;sáb 26/04/2025;18:30;Ceará (5.);São Paulo (10.);4-2-3-1;Luis Zubeldía;46.929;01:01;;;;;;;
7;sex 02/05/2025;21:30;São Paulo (10.);Fortaleza (15.);4-2-3-1;Luis Zubeldía;39.502;00:00;;;;;;;
8;dom 11/05/2025;17:30;Palmeiras (1.);São Paulo (11.);4-2-3-1;Luis Zubeldía;29.709;01:00;;;;;;;
9;sáb 17/05/2025;21:00;São Paulo (16.);Grêmio (15.);4-2-3-1;Hernán Crespo;34.579;02:01;;;;;;;
10;sáb 24/05/2025;17:30;São Paulo (11.);Mirassol (12.);4-2-3-1;Luis Zubeldía;30.925;00:02;;;;;;;
11;sáb 31/05/2025;17:30;Bahia (8.);São Paulo (13.);4-2-3-1;Luis Zubeldía;41.041;02:01;;;;;;;
12;qui 12/06/2025;21:30;São Paulo (13.);Vasco da Gama (15.);4-2-3-1;Luis Zubeldía;20.332;01:03;;;;;;;
13;sáb 12/07/2025;16:30;Flamengo (1.);São Paulo (14.);05/03/2002;Hernán Crespo;67.359;02:00;;;;;;;
14;qua 16/07/2025;21:30;Bragantino (3.);São Paulo (16.);3-4-2-1;Hernán Crespo;6.119;02:02;;;;;;;
15;sáb 19/07/2025;21:00;São Paulo (17.);Corinthians (10.);3-5-2 plano;Hernán Crespo;47.964;02:00;;;;;;;
16;qui 24/07/2025;19:00;Juventude (18.);São Paulo (15.);3-5-2 plano;Hernán Crespo;6.095;00:01;;;;;;;
17;dom 27/07/2025;16:00;São Paulo (13.);Fluminense (9.);3-5-2 plano;Hernán Crespo;42.628;03:01;;;;;;;
18;dom 03/08/2025;20:30;Internacional (12.);São Paulo (10.);3-4-1-2;Hernán Crespo;11.414;01:02;;;;;;;
19;sáb 09/08/2025;18:30;São Paulo (10.);Vitória (17.);3-5-2 plano;Hernán Crespo;39.283;02:00;;;;;;;
20;sáb 16/08/2025;18:30;Sport (20.);São Paulo (8.);4-2-3-1;Hernán Crespo;26.104;02:02;;;;;;;
21;dom 24/08/2025;20:30;São Paulo (8.);Atlético-MG (9.);3-5-2 plano;Hernán Crespo;26.364;02:00;;;;;;;
22;sáb 30/08/2025;21:00;Cruzeiro (3.);São Paulo (7.);3-4-1-2;Hernán Crespo;36.882;01:00;;;;;;;
23;dom 14/09/2025;17:30;São Paulo (7.);Botafogo (6.);3-4-1-2;Hernán Crespo;38.713;01:00;;;;;;;
24;dom 21/09/2025;20:30;Santos (15.);São Paulo (7.);3-4-1-2;Hernán Crespo;12.107;01:00;;;;;;;
25;seg 29/09/2025;20:00;São Paulo (7.);Ceará (14.);3-1-4-2;Hernán Crespo;12.342;00:01;;;;;;;
26;qui 02/10/2025;19:30;Fortaleza (18.);São Paulo (8.);3-5-2 plano;Hernán Crespo;35.544;00:02;;;;;;;
27;dom 05/10/2025;16:00;São Paulo (8.);Palmeiras (2.);3-4-1-2;Hernán Crespo;33.928;02:03;;;;;;;
28;qui 16/10/2025;19:00;Grêmio (14.);São Paulo (8.);3-4-1-2;Hernán Crespo;21.526;02:00;;;;;;;
29;dom 19/10/2025;18:30;Mirassol (4.);São Paulo (8.);3-4-1-2;Hernán Crespo;8.981;03:00;;;;;;;
